year,origin,amount
1987,SAN,14795
1987,SFO,35155
1987,BUR,6548
1987,OAK,8393
1987,LAX,45646
1987,PHX,29848
1987,SJC,11570
1987,LAS,19239
1987,SNA,7310
1987,SMF,6912
1987,ABQ,7866
1987,MFR,831
1987,SCK,451
1987,MRY,888
1987,TUS,4954
1987,EUG,1176
1987,SEA,17411
1987,RDM,166
1987,PDX,10077
1987,RNO,5779
1987,ONT,8081
1987,CCR,374
1987,FAT,1917
1987,LGB,2122
1987,PSC,461
1987,YKM,169
1987,BLI,252
1987,GEG,2848
1987,JFK,12273
1987,STL,32097
1987,HNL,3827
1987,MIA,17649
1987,SJU,3623
1987,DEN,43376
1987,CVG,15483
1987,DCA,22016
1987,DTW,27548
1987,SYR,8377
1987,LGA,28596
1987,BOS,25250
1987,PHL,20570
1987,TPA,15288
1987,MCO,17305
1987,MKE,4368
1987,IAD,14560
1987,CMH,6788
1987,ORD,67216
1987,PIT,28765
1987,EWR,30991
1987,HOU,14286
1987,SAT,8194
1987,DAY,9259
1987,IND,8817
1987,FLL,10391
1987,BNA,13398
1987,CLE,13691
1987,DFW,51860
1987,BWI,16242
1987,ORF,7163
1987,COS,2252
1987,MCI,12910
1987,LIT,3701
1987,TUL,6525
1987,BDL,7676
1987,SLC,16498
1987,SDF,6257
1987,IAH,21566
1987,JAX,6498
1987,PSP,1386
1987,ANC,3217
1987,MSY,10112
1987,OMA,4471
1987,RSW,3932
1987,SRQ,2598
1987,ICT,3575
1987,ATL,66309
1987,MDW,4558
1987,AUS,7206
1987,MSP,23108
1987,PBI,6001
1987,OKC,6381
1987,MLI,1839
1987,MSN,1117
1987,CLT,24518
1987,DSM,3587
1987,RDU,15370
1987,FSD,1757
1987,PIA,1135
1987,SGF,852
1987,LEX,2395
1987,CMI,627
1987,CID,1515
1987,SUX,725
1987,TOL,926
1987,LNK,1587
1987,MDT,1560
1987,ALO,356
1987,RST,552
1987,MEM,19081
1987,OGG,890
1987,FAI,807
1987,KOA,159
1987,ROC,6058
1987,MBS,812
1987,LIH,164
1987,SBA,1153
1987,ALB,2922
1987,GSO,5796
1987,GRR,2516
1987,BIL,1775
1987,BHM,4625
1987,CAE,3058
1987,MHT,535
1987,ELP,5693
1987,TYS,2412
1987,JAN,2583
1987,BFL,608
1987,HSV,1546
1987,SAV,2984
1987,BGR,536
1987,PWM,1696
1987,ABE,1258
1987,BOI,1495
1987,CAK,1302
1987,GTF,1067
1987,BUF,6948
1987,CPR,632
1987,BTV,1581
1987,ISP,2050
1987,RIC,4797
1987,CHS,3705
1987,PVD,3043
1987,RAP,932
1987,CRW,1332
1987,FAR,857
1987,HPN,610
1987,FOE,57
1987,ILM,1150
1987,RDD,342
1987,LMT,58
1987,ACV,343
1987,ILG,29
1987,DAL,8962
1987,LBB,2192
1987,AMA,1947
1987,CRP,1270
1987,HRL,1687
1987,MAF,2382
1987,TLH,2094
1987,GSP,2168
1987,PNS,1881
1987,MOB,2135
1987,AVP,545
1987,GNV,606
1987,STT,863
1987,STX,709
1987,DAB,1557
1987,MLB,1076
1987,DRO,172
1987,GJT,585
1987,PUB,350
1987,GCN,419
1987,FLG,576
1987,YUM,509
1987,GRB,659
1987,AZO,997
1987,ERI,700
1987,FWA,1127
1987,BIS,1138
1987,MOT,447
1987,GFK,311
1987,VPS,342
1987,BZN,958
1987,DLH,359
1987,LSE,425
1987,EAU,321
1987,ATW,436
1987,SBN,665
1987,LAN,734
1987,MSO,708
1987,MGM,881
1987,BTR,2269
1987,SHV,2006
1987,CHA,1299
1987,GPT,323
1987,PFN,163
1987,CWA,437
1987,ROA,1332
1987,FAY,1096
1987,AVL,546
1987,OAJ,455
1987,HTS,620
1987,TRI,799
1987,LYH,444
1987,MYR,993
1987,FNT,274
1987,AGS,862
1987,ORH,611
1987,CHO,426
1987,ISO,367
1987,EVV,700
1987,UCA,252
1987,APF,261
1987,EYW,530
1987,BGM,545
1987,ITH,640
1987,ELM,696
1987,LFT,299
1987,GUM,466
1987,YAP,50
1987,ROR,91
1987,SPN,275
1987,MFE,407
1987,MLU,638
1987,CSG,327
1987,FCA,179
1987,HLN,268
1987,IDA,326
1987,JAC,226
1987,JNU,728
1987,BTM,179
1987,PIE,181
1987,TVL,241
1987,PHF,268
1987,BET,131
1987,OME,201
1987,OTZ,196
1987,SCC,134
1987,KTN,508
1987,CDV,146
1987,YAK,151
1987,SIT,282
1987,PSG,169
1987,WRG,168
1987,GUC,29
1987,HDN,64
1987,PIR,1
1988,SYR,31937
1988,LGA,114698
1988,JFK,51485
1988,UCA,1010
1988,CHO,1822
1988,CLT,101093
1988,EWR,125333
1988,LYH,1502
1988,ROA,4767
1988,BWI,67672
1988,MYR,3803
1988,GSO,21721
1988,ISP,7570
1988,CHS,13973
1988,ORF,27048
1988,BGM,2161
1988,LAX,169696
1988,SEA,71281
1988,SJC,46274
1988,BUR,23217
1988,SFO,131614
1988,SCK,1423
1988,OAK,28335
1988,LAS,72498
1988,MRY,2518
1988,SAN,61207
1988,TUS,18389
1988,PHX,121444
1988,SNA,30257
1988,SMF,27494
1988,ABQ,31480
1988,EUG,3594
1988,MFR,2178
1988,RDM,697
1988,PDX,39121
1988,RNO,19472
1988,ONT,34640
1988,CCR,1289
1988,PSC,1987
1988,YKM,710
1988,FAT,5638
1988,LGB,8599
1988,BLI,1045
1988,GEG,10657
1988,PSP,5092
1988,PHL,84069
1988,STL,127429
1988,HNL,15662
1988,MIA,72661
1988,SJU,17230
1988,BOS,99921
1988,CVG,62273
1988,DCA,89277
1988,MCO,72723
1988,DAY,35562
1988,RSW,17766
1988,ORD,271494
1988,SAT,33937
1988,FLL,39978
1988,JAX,24305
1988,PBI,25841
1988,PIT,118068
1988,MCI,44876
1988,TPA,60204
1988,CMH,26993
1988,MDW,19447
1988,AUS,28983
1988,DFW,216849
1988,COS,10508
1988,IND,37399
1988,DEN,161146
1988,MSN,5526
1988,DTW,108114
1988,TUL,25423
1988,BDL,31167
1988,IAD,50979
1988,CLE,59233
1988,SDF,23719
1988,MSP,95265
1988,IAH,85012
1988,SRQ,11820
1988,DSM,13524
1988,SLC,67710
1988,FSD,5723
1988,OKC,25564
1988,ICT,11890
1988,MLI,5510
1988,MSY,40943
1988,HOU,56990
1988,ATL,259731
1988,CMI,2218
1988,PIA,3203
1988,BNA,55696
1988,MKE,23148
1988,OMA,18111
1988,LEX,8397
1988,RDU,61264
1988,LIT,15084
1988,CID,5063
1988,SGF,2411
1988,MDT,6683
1988,SUX,3389
1988,LNK,5312
1988,TOL,3720
1988,ALO,116
1988,RST,2788
1988,MEM,74380
1988,ANC,13641
1988,OGG,3474
1988,FAI,3603
1988,KOA,612
1988,MBS,3529
1988,RAP,2775
1988,LIH,571
1988,SBA,3270
1988,PWM,7264
1988,ROC,22910
1988,ALB,12448
1988,TYS,9003
1988,GRR,10482
1988,PVD,12678
1988,JAN,9769
1988,BUF,27704
1988,BIL,6240
1988,GTF,3929
1988,BHM,18585
1988,HSV,6360
1988,BGR,2131
1988,BOI,6623
1988,MHT,2800
1988,CAK,4099
1988,BTV,6882
1988,ABE,4947
1988,RIC,17751
1988,SAV,10948
1988,CAE,10686
1988,GUC,153
1988,ELP,23878
1988,CRW,4641
1988,FAR,2916
1988,HPN,2212
1988,ILM,3730
1988,RDD,19
1988,ACV,19
1988,DAL,35638
1988,LBB,9733
1988,AMA,7608
1988,CRP,5539
1988,HRL,6676
1988,MAF,9253
1988,PNS,7096
1988,GSP,9612
1988,MOB,8067
1988,TLH,8706
1988,AVP,2273
1988,GNV,2586
1988,DAB,6375
1988,MLB,4812
1988,STT,3152
1988,STX,2580
1988,PUB,1342
1988,DRO,706
1988,GJT,2267
1988,YUM,1766
1988,FLG,2631
1988,GCN,1876
1988,ERI,2285
1988,GRB,2442
1988,FWA,4929
1988,GPT,1130
1988,LSE,1725
1988,BIS,4113
1988,VPS,1262
1988,AZO,4027
1988,BZN,3597
1988,DLH,1377
1988,GFK,1065
1988,EAU,1348
1988,MOT,1886
1988,ATW,1211
1988,SBN,2715
1988,MSO,2665
1988,MGM,3622
1988,BTR,8767
1988,SHV,7572
1988,CHA,5185
1988,PFN,710
1988,LAN,3346
1988,HDN,453
1988,CWA,1698
1988,FAY,4268
1988,AVL,2321
1988,OAJ,1805
1988,HTS,2328
1988,TRI,3205
1988,FNT,1367
1988,AGS,3218
1988,ORH,2859
1988,ISO,1439
1988,EVV,2594
1988,APF,807
